company,ticker,filing_date,10k_doc_id,n_ai_sentences,ai_tone,n_other_sentences,other_tone,within_doc_distance,flag
ORACLE CORP,ORCL,2012-06-26,968bad26362fb632,0,,292,-0.3026,,LOW_SENTENCE_COUNT
ORACLE CORP,ORCL,2013-06-26,59878f7db10dc68b,0,,303,-0.2946,,LOW_SENTENCE_COUNT
ORACLE CORP,ORCL,2014-06-26,fd5dfec5b35303e0,0,,293,-0.3046,,LOW_SENTENCE_COUNT
ORACLE CORP,ORCL,2015-06-25,ef6e1dbd80f3d55e,0,,304,-0.3093,,LOW_SENTENCE_COUNT
ORACLE CORP,ORCL,2016-06-22,8f3a6946007bd801,0,,305,-0.3174,,LOW_SENTENCE_COUNT
ORACLE CORP,ORCL,2017-06-27,4d99f8932a980315,0,,310,-0.3085,,LOW_SENTENCE_COUNT
ORACLE CORP,ORCL,2018-06-22,cf57cffa521a2d04,2,-0.039,337,-0.3172,0.2782,LOW_SENTENCE_COUNT
ORACLE CORP,ORCL,2019-06-21,544dc3b0af064235,2,-0.0299,322,-0.3121,0.2821,LOW_SENTENCE_COUNT
ORACLE CORP,ORCL,2020-06-22,923d2c6a00b872e9,1,-0.8759,339,-0.316,-0.56,LOW_SENTENCE_COUNT
ORACLE CORP,ORCL,2021-06-21,9708299aa2df4792,1,-0.8759,300,-0.3538,-0.5221,LOW_SENTENCE_COUNT
ORACLE CORP,ORCL,2022-06-21,eb41c737b392d65e,1,-0.8778,309,-0.3526,-0.5252,LOW_SENTENCE_COUNT
ORACLE CORP,ORCL,2023-06-20,eee963c13b43497e,1,-0.8868,307,-0.3466,-0.5402,LOW_SENTENCE_COUNT
ORACLE CORP,ORCL,2024-06-20,5e50d2f626d262ba,5,-0.331,343,-0.3132,-0.0178,
ORACLE CORP,ORCL,2025-06-18,aca90e8cd0416658,10,-0.2005,342,-0.3202,0.1197,
ORACLE CORP,ORCL,2026-06-22,b5db10277712ffd2,25,-0.2892,426,-0.3722,0.0829,
S&P Global Inc.,SPGI,2018-02-09,f67e880b4bb8099d,0,,268,-0.2748,,LOW_SENTENCE_COUNT
S&P Global Inc.,SPGI,2019-02-13,0a9b3c637deabec8,0,,297,-0.2872,,LOW_SENTENCE_COUNT
S&P Global Inc.,SPGI,2020-02-10,98111147ee36a788,0,,311,-0.2929,,LOW_SENTENCE_COUNT
S&P Global Inc.,SPGI,2021-02-09,57f5593718a60973,0,,374,-0.3085,,LOW_SENTENCE_COUNT
S&P Global Inc.,SPGI,2022-02-08,8cbd2dc304746e97,0,,368,-0.3075,,LOW_SENTENCE_COUNT
S&P Global Inc.,SPGI,2023-02-10,9614be775fedda04,8,-0.4205,359,-0.3292,-0.0912,
S&P Global Inc.,SPGI,2024-02-09,8123897b35ad5969,19,-0.1978,371,-0.2784,0.0807,
S&P Global Inc.,SPGI,2025-02-11,d2e0caf028786b0c,20,-0.1765,364,-0.2949,0.1184,
S&P Global Inc.,SPGI,2026-02-11,8d721ccb8f574ba9,28,-0.2374,424,-0.2984,0.061,
"Salesforce, Inc.",CRM,2006-03-15,dc0ff8047ddd956c,0,,373,-0.2694,,LOW_SENTENCE_COUNT
"Salesforce, Inc.",CRM,2007-03-09,62c224a26a60a5f4,0,,359,-0.2798,,LOW_SENTENCE_COUNT
"Salesforce, Inc.",CRM,2008-02-29,bb55e59f002fa4ae,0,,317,-0.2666,,LOW_SENTENCE_COUNT
"Salesforce, Inc.",CRM,2009-03-09,2a7b23dd6c1144ff,0,,320,-0.2822,,LOW_SENTENCE_COUNT
"Salesforce, Inc.",CRM,2010-03-11,46a8438c1db1a935,0,,346,-0.2845,,LOW_SENTENCE_COUNT
"Salesforce, Inc.",CRM,2011-03-23,d6a450e2a0cb05d9,0,,302,-0.3153,,LOW_SENTENCE_COUNT
"Salesforce, Inc.",CRM,2012-03-09,656365e3d1658155,0,,266,-0.3139,,LOW_SENTENCE_COUNT
"Salesforce, Inc.",CRM,2013-03-08,8057da3be5fd52ab,0,,294,-0.3005,,LOW_SENTENCE_COUNT
"Salesforce, Inc.",CRM,2014-03-05,1cae0fa77dd3f5d1,0,,356,-0.2916,,LOW_SENTENCE_COUNT
"Salesforce, Inc.",CRM,2015-03-06,21d541a2ae9f1ed3,0,,377,-0.2787,,LOW_SENTENCE_COUNT
"Salesforce, Inc.",CRM,2016-03-07,2f85d367206ad0f8,0,,422,-0.2864,,LOW_SENTENCE_COUNT
"Salesforce, Inc.",CRM,2017-03-06,60bdc0f4e571b1dd,0,,443,-0.2872,,LOW_SENTENCE_COUNT
"Salesforce, Inc.",CRM,2018-03-09,6dd5cfd41d482bb8,0,,453,-0.2905,,LOW_SENTENCE_COUNT
"Salesforce, Inc.",CRM,2019-03-08,117ffdd67eb38fda,6,-0.2678,440,-0.2988,0.0309,
"Salesforce, Inc.",CRM,2020-03-05,cae9f42a913bdb71,7,-0.4395,446,-0.2961,-0.1434,
